port,service,description,tcp,udp,other
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp"".",True,,
247,subntbcst_tftp,SUBNTBCST_TFTP,True,,
247,subntbcst-tftp,"SUBNTBCST_TFTP IANA assigned this well-formed service name as a replacement for ""subntbcst_tftp"".",,True,
247,subntbcst_tftp,SUBNTBCST_TFTP,,True,
248,bhfhs,bhfhs,True,,
248,bhfhs,bhfhs,,True,
249-255,,Reserved,,,
256,rap,RAP,True,,
256,rap,RAP,,True,
257,set,Secure Electronic Transaction,True,,
257,set,Secure Electronic Transaction,,True,
259,esro-gen,Efficient Short Remote Operations,True,,
259,esro-gen,Efficient Short Remote Operations,,True,
260,openport,Openport,True,,
260,openport,Openport,,True,
261,nsiiops,IIOP Name Service over TLS/SSL,True,,
261,nsiiops,IIOP Name Service over TLS/SSL,,True,
262,arcisdms,Arcisdms,True,,
262,arcisdms,Arcisdms,,True,
263,hdap,HDAP,True,,
263,hdap,HDAP,,True,
264,bgmp,BGMP,True,,
264,bgmp,BGMP,,True,
265,x-bone-ctl,X-Bone CTL,True,,
265,x-bone-ctl,X-Bone CTL,,True,
266,sst,SCSI on ST,True,,
266,sst,SCSI on ST,,True,
267,td-service,Tobit David Service Layer,True,,
267,td-service,Tobit David Service Layer,,True,
268,td-replica,Tobit David Replica,True,,
268,td-replica,Tobit David Replica,,True,
269,manet,MANET Protocols,True,,
269,manet,MANET Protocols,,True,
270,,Reserved,Reserved,,
270,gist,Q-mode encapsulation for GIST messages,,True,
271,pt-tls,IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS),True,,
271,,Reserved,,Reserved,
280,http-mgmt,http-mgmt,True,,
280,http-mgmt,http-mgmt,,True,
281,personal-link,Personal Link,True,,
281,personal-link,Personal Link,,True,
282,cableport-ax,Cable Port A/X,True,,
282,cableport-ax,Cable Port A/X,,True,
283,rescap,rescap,True,,
283,rescap,rescap,,True,
284,corerjd,corerjd,True,,
284,corerjd,corerjd,,True,
286,fxp,FXP Communication,True,,
286,fxp,FXP Communication,,True,
287,k-block,K-BLOCK,True,,
287,k-block,K-BLOCK,,True,
308,novastorbakcup,Novastor Backup,True,,
308,novastorbakcup,Novastor Backup,,True,
309,entrusttime,EntrustTime,True,,
309,entrusttime,EntrustTime,,True,
310,bhmds,bhmds,True,,
310,bhmds,bhmds,,True,
311,asip-webadmin,AppleShare IP WebAdmin,True,,
311,asip-webadmin,AppleShare IP WebAdmin,,True,
312,vslmp,VSLMP,True,,
312,vslmp,VSLMP,,True,
313,magenta-logic,Magenta Logic,True,,
313,magenta-logic,Magenta Logic,,True,
314,opalis-robot,Opalis Robot,True,,
314,opalis-robot,Opalis Robot,,True,
315,dpsi,DPSI,True,,
315,dpsi,DPSI,,True,
316,decauth,decAuth,True,,
316,decauth,decAuth,,True,
317,zannet,Zannet,True,,
317,zannet,Zannet,,True,
318,pkix-timestamp,PKIX TimeStamp,True,,
318,pkix-timestamp,PKIX TimeStamp,,True,
319,ptp-event,PTP Event,True,,
319,ptp-event,PTP Event,,True,
320,ptp-general,PTP General,True,,
320,ptp-general,PTP General,,True,
321,pip,PIP,True,,
321,pip,PIP,,True,
322,rtsps,RTSPS,True,,
322,rtsps,RTSPS,,True,
323,rpki-rtr,Resource PKI to Router Protocol,True,,
323,,Reserved,,Reserved,
324,rpki-rtr-tls,Resource PKI to Router Protocol over TLS,True,,
324,,Reserved,,Reserved,
333,texar,Texar Security Port,True,,
333,texar,Texar Security Port,,True,
344,pdap,Prospero Data Access Protocol,True,,
344,pdap,Prospero Data Access Protocol,,True,
345,pawserv,Perf Analysis Workbench,True,,
345,pawserv,Perf Analysis Workbench,,True,
346,zserv,Zebra server,True,,
346,zserv,Zebra server,,True,
347,fatserv,Fatmen Server,True,,
347,fatserv,Fatmen Server,,True,
